Name,Organization,id,Description,Translation Required,Spanish_Description,locations,address_1 (from address) (from locations) 2,city (from address) (from locations) 3,Zip Code (from address) (from locations) 3,latitude (from locations) 2,longitude (from locations) 2,url,email,active,application_process,service_options,payment_options,taxonomy,phones,schedule,weekday (from schedule) 3,opens_at (from schedule) 3,closes_at (from schedule) 3,add_day (from schedule) 4,add_hours (from schedule) 4,med_area,legal_area,cash_area,dv_area,foodstamp_area,freefood_area,details,service_area,Last updated,Updated By,owner,status,Auto-Last updated,Auto-Last updated by,Questions/Confusions/Observations
Longfellow Middle School,Berkeley Unified,4543,"Nutrition Services will now provide meals for all seven days of the week. On Fridays Grab and Go meals will include breakfast and lunch for Friday, Saturday and Sunday.",,"Ofrecemos comidas los siete días de la semana. Los viernes, las comidas incluirán el desayuno y almuerzo para los viernes, sábados y domingos.",1522 Ward Street,1522 Ward Street,Berkeley,95704,37.8578307,-122.2793717,https://www.berkeleyschools.net/departments/nutrition-services/meal-program-2020-21/,superintendent@berkeley.net,Open,,"In person,Curbside Pickup",Free,School Meals,,Berkeley Unified - All Schools,"Monday, Wednesday, Friday",7:45 AM,11:00 AM,,,,,,,,"Breakfast,Lunch",All Children,,10/17/2020,Charlie,Charlie Hoffs,Vetted,10/17/2020 5:57pm,Charlie Hoffs,
Berkeley High School,Berkeley Unified,4544,"Nutrition Services will now provide meals for all seven days of the week. On Fridays Grab and Go meals will include breakfast and lunch for Friday, Saturday and Sunday.",,"Ofrecemos comidas los siete días de la semana. Los viernes, las comidas incluirán el desayuno y almuerzo para los viernes, sábados y domingos.",1980 Allston Way,1980 Allston Way,Berkeley,94704,37.8682847,-122.270756,https://www.berkeleyschools.net/departments/nutrition-services/meal-program-2020-21/,superintendent@berkeley.net,Open,,"In person,Curbside Pickup",Free,School Meals,,Berkeley Unified - All Schools,"Monday, Wednesday, Friday",7:45 AM,11:00 AM,,,,,,,,"Breakfast,Lunch",All Children,,10/17/2020,Charlie,Charlie Hoffs,Vetted,10/17/2020 5:57pm,Charlie Hoffs,
Willard Middle School,Berkeley Unified,4545,"Nutrition Services will now provide meals for all seven days of the week. On Fridays Grab and Go meals will include breakfast and lunch for Friday, Saturday and Sunday.",,"Ofrecemos comidas los siete días de la semana. Los viernes, las comidas incluirán el desayuno y almuerzo para los viernes, sábados y domingos.",2425 Stuart Street,2425 Stuart Street,Berkeley,94705,37.8597077,-122.2585901,https://www.berkeleyschools.net/departments/nutrition-services/meal-program-2020-21/,superintendent@berkeley.net,Open,,"In person,Curbside Pickup",Free,School Meals,,Berkeley Unified - All Schools,"Monday, Wednesday, Friday",7:45 AM,11:00 AM,,,,,,,,"Breakfast,Lunch",All Children,,10/17/2020,Charlie,Charlie Hoffs,Vetted,10/17/2020 5:57pm,Charlie Hoffs,
Martin Luther King Jr. Middle School,Berkeley Unified,4546,"Nutrition Services will now provide meals for all seven days of the week. On Fridays Grab and Go meals will include breakfast and lunch for Friday, Saturday and Sunday.",,"Ofrecemos comidas los siete días de la semana. Los viernes, las comidas incluirán el desayuno y almuerzo para los viernes, sábados y domingos.",1781 Rose Street,1781 Rose Street,Berkeley,94703,37.8824167,-122.277707,https://www.berkeleyschools.net/departments/nutrition-services/meal-program-2020-21/,superintendent@berkeley.net,Open,,"In person,Curbside Pickup",Free,School Meals,,Berkeley Unified - All Schools,"Monday, Wednesday, Friday",7:45 AM,11:00 AM,,,,,,,,"Breakfast,Lunch",All Children,,10/17/2020,Charlie,Charlie Hoffs,Vetted,10/17/2020 5:57pm,Charlie Hoffs,
Castro Valley Elementary School,Castro Valley Unified,4547,"Starting September 8th, CVUSD will offer FREE “Grab and Go” meals to any child under the age of 18.  Families may pick up a meal from any site listed above.  Legal guardians may pick up meals on behalf of their child.  Meal service will include one bagged breakfast and one bagged hot lunch. Menus will be posted online in advance:",,"Desayuno y almuerzo
GRATUITO PARA LLEVAR
para cualquier niño menor de 18 años comenzando el 8 de septiembre
LUNES A VIERNES
(todos los días escolares programados)",20185 San Miguel Ave,20185 San Miguel Ave,Castro Valley,94546,37.697829,-122.081038,https://www.cv.k12.ca.us/apps/pages/index.jsp?uREC_ID=1728675&type=d&pREC_ID=1902090,superintendant: superintendent@cv.k12.ca.us,Open,,In person,Free,School Meals,(510) 537-3000,Castro Valley Unified,"Monday, Tuesday, Wednesday, Thursday, Friday",11:30 AM,12:30 PM,,,,,,,,"Breakfast,Lunch",All Children,,10/17/2020,Charlie,Charlie Hoffs,Vetted,10/17/2020 6:12pm,Charlie Hoffs,
Creekside Middle School,Castro Valley Unified,4548,"Starting September 8th, CVUSD will offer FREE “Grab and Go” meals to any child under the age of 18.  Families may pick up a meal from any site listed above.  Legal guardians may pick up meals on behalf of their child.  Meal service will include one bagged breakfast and one bagged hot lunch. Menus will be posted online in advance:
",,"Desayuno y almuerzo
GRATUITO PARA LLEVAR
para cualquier niño menor de 18 años comenzando el 8 de septiembre
LUNES A VIERNES
(todos los días escolares programados)",19722 Center St,19722 Center St,Castro Valley,94546,37.6990624,-122.0589462,https://www.cv.k12.ca.us/apps/pages/index.jsp?uREC_ID=1728675&type=d&pREC_ID=1902090,superintendant: superintendent@cv.k12.ca.us,Open,,In person,Free,School Meals,(510) 537-3000,Castro Valley Unified,"Monday, Tuesday, Wednesday, Thursday, Friday",11:30 AM,12:30 PM,,,,,,,,"Breakfast,Lunch",All Children,,10/17/2020,Charlie,Charlie Hoffs,Vetted,10/17/2020 6:12pm,Charlie Hoffs,
Stanton Elementary School,Castro Valley Unified,4549,2 lunches and 2 breakfasts,,2 almuerzos y 2 desayunos,2644 Somerset Ave,2644 Somerset Ave,Castro Valley,94546,37.7005523,-122.0936006,,superintendant: superintendent@cv.k12.ca.us,Closed,,,Free,School Meals,(510) 537-3000,Stanton Elementary School,"Monday, Wednesday, Friday",11:30 AM,12:30 PM,,,,,,,,"Breakfast,Lunch",All Children,,10/17/2020,Charlie,Charlie Hoffs,Vetted,10/17/2020 6:12pm,Charlie Hoffs,
Dublin High,Dublin Unified,4550,"Dublin students now have the ability to order breakfast and lunch meals each day through their Canvas account. When they login, they will see a Meal Order item in their To-Do list. If they choose to order a meal, it must be submitted before 9:00am that day and can be picked up between 11:00am-1:00pm. If they do not wish to order a meal for that day, they can simply click on the ""x"" next to the item to delete it.",,"Los estudiantes de Dublín pueden pedir desayunos y almuerzos todos los días a través de su cuenta de Canvas. Cuando inicien la sesión, verán un ""pedido de comida"" en su lista de tareas pendientes. Si quieren pedir una comida, debe enviarla antes de las 9:00 AM de ese día y se puede recoger entre las 11:00 AM Y las 1:00 PM. Si no desean pedir una comida para ese día, simplemente pueden hacer clic en la ""x"" junto al mensaje para eliminarlo.",8151 Village Pkwy,8151 Village Pkwy,Dublin,94568,37.7207918,-121.9238647,https://www.dublin.k12.ca.us/site/default.aspx?PageType=3&DomainID=1&ModuleInstanceID=1197&ViewID=6446EE88-D30C-497E-9316-3F8874B3E108&RenderLoc=0&FlexDataID=38711&PageID=1,webmaster@dublinusd.org,Open,,In person,Free,School Meals,(925) 833-3300,Dublin Unified,"Monday, Tuesday, Wednesday, Thursday, Friday",11:00 AM,1:00 PM,,,,,,,,"Breakfast,Lunch",All Children,,9/23/2020,Angie,Charlie Hoffs,Not vetted,10/17/2020 9:46pm,Charlie Hoffs,
 Fallon Middle School,Dublin Unified,4551,"Dublin students now have the ability to order breakfast and lunch meals each day through their Canvas account. When they login, they will see a Meal Order item in their To-Do list. If they choose to order a meal, it must be submitted before 9:00am that day and can be picked up between 11:00am-1:00pm. If they do not wish to order a meal for that day, they can simply click on the ""x"" next to the item to delete it.",,"Los estudiantes de Dublín pueden pedir desayunos y almuerzos todos los días a través de su cuenta de Canvas. Cuando inicien la sesión, verán un ""pedido de comida"" en su lista de tareas pendientes. Si quieren pedir una comida, debe enviarla antes de las 9:00 AM de ese día y se puede recoger entre las 11:00 AM Y las 1:00 PM. Si no desean pedir una comida para ese día, simplemente pueden hacer clic en la ""x"" junto al mensaje para eliminarlo.",3601 Kohnen Way,3601 Kohnen Way,Dublin,94568,37.7154653,-121.8673155,https://www.dublin.k12.ca.us/site/default.aspx?PageType=3&DomainID=1&ModuleInstanceID=1197&ViewID=6446EE88-D30C-497E-9316-3F8874B3E108&RenderLoc=0&FlexDataID=38711&PageID=1,webmaster@dublinusd.org,Open,,In person,Free,School Meals,(925) 875-9376,Dublin Unified,"Monday, Tuesday, Wednesday, Thursday, Friday",11:00 AM,1:00 PM,,,,,,,,"Breakfast,Lunch",All Children,,9/23/2020,Angie,Charlie Hoffs,Not vetted,10/17/2020 9:45pm,Charlie Hoffs,
Emeryville Center of Community Life/High School,Emery Unified,4552,"Mondays (3 lunch + 3 breakfast), Thursdays (2 lunch + 2 breakfast) BRING A BAG OR COOLER",checked,,1100 47th St,1100 47th St,Emeryville,94608,37.835665,-122.281626,https://emeryusd.k12.ca.us/,lisa.taymuree@emeryusd.org,Open,,Curbside Pickup,Free,School Meals,,Emeryville Center of Community Life/High School,"Monday, Thursday",10:00 AM,12:00 PM,,,,,,,,Lunch,All Children,,10/17/2020,Charlie,Charlie Hoffs,Vetted,10/17/2020 6:30pm,Charlie Hoffs,
Thornton Junior High School,Fremont Unified,4553,"A weekly 22 lb. box of fresh fruit and vegetables, as well as shelf-stable grocery bags, will be added for families in addition to the Grab & Go meal.",,"Además de la comida Grab & Go, se agregará una caja semanal de 22 libras de frutas y verduras frescas y  bolsas de supermercado con comidas que se pueden almacenar para las familias.",4357 Thornton Ave,4357 Thornton Ave,Fremont,94536,37.5562645,-122.0163614,,fuss4schools@gmail.com,Closed,,,Free,School Meals,,Thornton Junior High School,"Monday, Wednesday",10:00 AM,11:30 AM,,,,,,,,"Breakfast,Lunch",All Children,,10/17/2020,Charlie,Charlie Hoffs,Vetted,10/17/2020 6:39pm,Charlie Hoffs,
Cabrillo Elementary School,Fremont Unified,4554,"Starting September 1, 2020 FREE meals will be available to ALL children ages 2 to 18!  All families are welcome, and meals are not                     restricted to Fremont Unified School District Students.

A weekly 22 lb. box of fresh fruit and vegetables, as well as shelf-stable grocery bags, will be added for families in addition to the Grab & Go meal.

 ",,"¡A partir del 1 de septiembre de 2020, ofrecemos comidas GRATUITAS para TODOS los niños de 2 a 18 años! 

Además de la comida para llevar, se agregará una caja semanal de 22 libras de frutas y verduras frescas y  bolsas de supermercado con comidas que se pueden almacenar para las familias.",36700 San Pedro Dr,36700 San Pedro Dr,Fremont,94536,37.5520877,-122.0249502,https://fusdcafes.org/,fuss4schools@gmail.com,Open,,In person,Free,School Meals,(510) 792-3232,Fremont Unified ,"Monday, Wednesday, Thursday, Tuesday, Friday",11:00 AM,1:00 PM,,,,,,,,"Breakfast,Lunch",All Children,,10/17/2020,Charlie,Charlie Hoffs,Vetted,10/17/2020 6:39pm,Charlie Hoffs,
Irvington High School,Fremont Unified,4555,"Starting September 1, 2020 FREE meals will be available to ALL children ages 2 to 18!  All families are welcome, and meals are not                     restricted to Fremont Unified School District Students.

A weekly 22 lb. box of fresh fruit and vegetables, as well as shelf-stable grocery bags, will be added for families in addition to the Grab & Go meal.

 ",,"¡A partir del 1 de septiembre de 2020, ofrecemos comidas GRATUITAS para TODOS los niños de 2 a 18 años! 

Además de la comida para llevar, se agregará una caja semanal de 22 libras de frutas y verduras frescas y  bolsas de supermercado con comidas que se pueden almacenar para las familias.",41800 Blacow Rd,41800 Blacow Rd,Fremont,94560,37.5440353,-122.0133938,https://fusdcafes.org/,fuss4schools@gmail.com,Open,,In person,Free,School Meals,(510) 656-5711,Irvington High School,"Monday, Wednesday, Thursday, Tuesday, Friday",7:30 AM,8:00 AM,"Monday, Tuesday, Wednesday, Thursday, Friday",11:00 AM - 1:00 PM,,,,,,"Breakfast,Lunch",All Children,,10/17/2020,Charlie,Charlie Hoffs,Vetted,10/17/2020 6:39pm,Charlie Hoffs,
Kennedy High School,Fremont Unified,4556,"Starting September 1, 2020 FREE meals will be available to ALL children ages 2 to 18!  All families are welcome, and meals are not                     restricted to Fremont Unified School District Students.

A weekly 22 lb. box of fresh fruit and vegetables, as well as shelf-stable grocery bags, will be added for families in addition to the Grab & Go meal.

 ",,"¡A partir del 1 de septiembre de 2020, ofrecemos comidas GRATUITAS para TODOS los niños de 2 a 18 años! 

Además de la comida para llevar, se agregará una caja semanal de 22 libras de frutas y verduras frescas y  bolsas de supermercado con comidas que se pueden almacenar para las familias.",39999 Blacow Rd,39999 Blacow Rd,Fremont,94538,37.528581,-121.983517,https://fusdcafes.org/,fuss4schools@gmail.com,Open,,In person,Free,School Meals,(510) 657-4070,Kennedy High School,"Monday, Wednesday, Tuesday, Thursday, Friday",7:30 AM,8:00 AM,"Monday, Tuesday, Wednesday, Thursday, Friday",11:00 AM - 1:00 PM,,,,,,"Breakfast,Lunch",All Children,,10/17/2020,Charlie,Charlie Hoffs,Vetted,10/17/2020 6:39pm,Charlie Hoffs,
Washington High School,Fremont Unified,4557,"Starting September 1, 2020 FREE meals will be available to ALL children ages 2 to 18!  All families are welcome, and meals are not                     restricted to Fremont Unified School District Students.

A weekly 22 lb. box of fresh fruit and vegetables, as well as shelf-stable grocery bags, will be added for families in addition to the Grab & Go meal.

 ",,"¡A partir del 1 de septiembre de 2020, ofrecemos comidas GRATUITAS para TODOS los niños de 2 a 18 años! 

Además de la comida para llevar, se agregará una caja semanal de 22 libras de frutas y verduras frescas y  bolsas de supermercado con comidas que se pueden almacenar para las familias.",38442 Fremont Blvd,38442 Fremont Blvd,Fremont,94555,37.5533674,-121.993815,https://fusdcafes.org/,fuss4schools@gmail.com,Open,,In person,Free,School Meals,(510) 505-7300,Washington High School: Fremont Unified,"Monday, Wednesday, Thursday, Tuesday, Friday",7:30 AM,8:00 AM,"Monday, Tuesday, Wednesday, Thursday, Friday",11:00 AM - 1:00 PM,,,,,,"Breakfast,Lunch",All Children,,10/17/2020,Charlie,Charlie Hoffs,Vetted,10/17/2020 6:39pm,Charlie Hoffs,
Bombay Pizza,Fremont Unified,4558,no details available,,no hay detalles disponibles,4922 Paseo Padre Parkway,4922 Paseo Padre Parkway,Fremont,94536,37.5632517,-122.0044444,,fuss4schools@gmail.com,Closed,,,Free,School Meals,,Bombay Pizza,"Monday, Tuesday, Wednesday, Thursday, Friday",12:00 PM,2:00 PM,,,,,,,,"Breakfast,Lunch",All Children,,10/17/2020,Charlie,Charlie Hoffs,Vetted,10/17/2020 6:39pm,Charlie Hoffs,
Curry Pizza House,Fremont Unified,4559,no details available,,no hay detalles disponibles,39070 Fremont Blvd,39070 Fremont Blvd,Fremont,94538,37.5479973,-121.9875031,,fuss4schools@gmail.com,Closed,,,Free,School Meals,,Curry Pizza House,"Monday, Tuesday, Wednesday, Thursday, Friday",12:00 PM,2:00 PM,,,,,,,,"Breakfast,Lunch",All Children,,10/17/2020,Charlie,Charlie Hoffs,Vetted,10/17/2020 6:39pm,Charlie Hoffs,
Joe's Corner,Fremont Unified,4560,no details available,,no hay detalles disponibles,37713 Niles Blvd,37713 Niles Blvd,Fremont,94536,37.5763123,-121.9764793,,fuss4schools@gmail.com,Closed,,,Free,School Meals,,Joe's Corner,"Wednesday, Thursday, Friday",12:00 AM,,Wednesday,11:00 am - 2:00 pm,,,,,,"Breakfast,Lunch",All Children,,10/17/2020,Charlie,Charlie Hoffs,Vetted,10/17/2020 6:39pm,Charlie Hoffs,
Milk and Honey,Fremont Unified,4561,no details available,,no hay detalles disponibles,34265 Fremont Blvd,34265 Fremont Blvd,Fremont,94539,37.4988201,-121.9487152,,fuss4schools@gmail.com,Closed,,,Free,School Meals,,Milk and Honey,"Tuesday, Wednesday, Thursday, Friday",,,Tuesday,12:00 pm - 2:00 pm,,,,,,"Breakfast,Lunch",All Children,,10/17/2020,Charlie,Charlie Hoffs,Vetted,10/17/2020 6:39pm,Charlie Hoffs,
Subway Sandwich,Fremont Unified,4562,no details available,,no hay detalles disponibles,1980 Driscoll Rd,1980 Driscoll Rd,Fremont,94537,37.5426768,-121.947053,,fuss4schools@gmail.com,Closed,,,Free,School Meals,,Subway Sandwich,"Monday, Tuesday, Wednesday, Thursday, Friday",12:00 PM,1:30 PM,,,,,,,,"Breakfast,Lunch",All Children,,10/17/2020,Charlie,Charlie Hoffs,Vetted,10/17/2020 6:39pm,Charlie Hoffs,
TECO Tea & Coffee Bar,Fremont Unified,4563,no details available,,no hay detalles disponibles,39030 Paseo Padre Parkway,39030 Paseo Padre Parkway,Fremont,94536,37.554357,-121.9806862,,fuss4schools@gmail.com,Closed,,,Free,School Meals,,TECO Tea & Coffee Bar,"Monday, Tuesday, Wednesday, Thursday, Friday",12:00 PM,2:00 PM,,,,,,,,"Breakfast,Lunch",All Children,,10/17/2020,Charlie,Charlie Hoffs,Vetted,10/17/2020 6:39pm,Charlie Hoffs,
Palma Ceia Elementary School,Hayward Unified,4564,NO identification is required.,,NO se requiere identificación.,27679 Melbourne Avenue,27679 Melbourne Avenue,Hayward,94545,37.6273437,-122.0866986,https://www.husd.us/FS ,mwayne@husd.k12.ca.us,Open,,,Free,School Meals,(510) 723-3890,Hayward Unified School District - All schools,"Monday, Tuesday, Wednesday, Thursday, Friday",11:00 AM,1:30 PM,,,,,,,,"Breakfast,Lunch",All Children,,10/11/2020,Andy,Andy Chen,Vetted,10/11/2020 10:21pm,Andy Chen,Possible that weekend days are also included.
Burbank Elementary School,Hayward Unified,4565,NO identification is required.,,NO se requiere identificación.,222 Burbank Street,222 Burbank Street,Hayward,94541,37.6658776,-122.0947011,https://www.husd.us/FS ,mwayne@husd.k12.ca.us,Open,,,Free,School Meals,(510) 723-3890,Hayward Unified School District - All schools,"Monday, Tuesday, Wednesday, Thursday, Friday",11:00 AM,1:30 PM,,,,,,,,"Breakfast,Lunch",All Children,,10/11/2020,Andy,Andy Chen,Vetted,10/11/2020 10:21pm,Andy Chen,Possible that weekend days are also included.
Eden Gardens Elementary School,Hayward Unified,4566,NO identification is required.,,NO se requiere identificación.,2184 Thayer Avenue,2184 Thayer Avenue,Hayward,94545,37.6376228,-122.1077152,https://www.husd.us/FS ,mwayne@husd.k12.ca.us,Open,,,Free,School Meals,(510) 723-3890,Hayward Unified School District - All schools,"Monday, Tuesday, Wednesday, Thursday, Friday",11:00 AM,1:30 PM,,,,,,,,"Breakfast,Lunch",All Children,,10/11/2020,Andy,Andy Chen,Vetted,10/11/2020 10:21pm,Andy Chen,Possible that weekend days are also included.
Faith Ringgold Elementary School,Hayward Unified,4567,NO identification is required.,,NO se requiere identificación.,1570 Ward Street,1570 Ward Street,Hayward,94541,37.6770186,-122.0725713,https://www.husd.us/FS ,mwayne@husd.k12.ca.us,Open,,,Free,School Meals,(510) 723-3890,Hayward Unified School District - All schools,"Monday, Tuesday, Wednesday, Thursday, Friday",11:00 AM,1:30 PM,,,,,,,,"Breakfast,Lunch",All Children,,10/11/2020,Andy,Andy Chen,Vetted,10/11/2020 10:21pm,Andy Chen,Possible that weekend days are also included.
Eldridge Elementary School,Hayward Unified,4568,NO identification is required.,,NO se requiere identificación.,26825 Eldridge Avenue,26825 Eldridge Avenue,Hayward,94544,37.6367676,-122.0856802,https://www.husd.us/FS ,mwayne@husd.k12.ca.us,Open,,,Free,School Meals,(510) 723-3890,Hayward Unified School District - All schools,"Monday, Tuesday, Wednesday, Thursday, Friday",11:00 AM,1:30 PM,,,,,,,,"Breakfast,Lunch",All Children,,10/11/2020,Andy,Andy Chen,Vetted,10/11/2020 10:21pm,Andy Chen,Possible that weekend days are also included.
Bowman Elementary School,Hayward Unified,4569,NO identification is required.,,NO se requiere identificación.,520 Jefferson Street,520 Jefferson Street,Hayward,94544,37.6415373,-122.0620943,https://www.husd.us/FS ,mwayne@husd.k12.ca.us,Open,,,Free,School Meals,(510) 723-3890,Hayward Unified School District - All schools,"Monday, Tuesday, Wednesday, Thursday, Friday",11:00 AM,1:30 PM,,,,,,,,"Breakfast,Lunch",All Children,,10/11/2020,Andy,Andy Chen,Vetted,10/11/2020 10:18pm,Andy Chen,Possible that weekend days are also included.
